SAMPLE_KEY,PLATE_ID,WELL_POSITION,SITE,CPD_NAME,CPD_NAME_TYPE,SMILES,INCHIKEY,IMG_ERSyto,IMG_ERSytoBleed,IMG_Hoechst,IMG_Mito,IMG_Ph_golgi
P102785-A03-2,P102785,A03,2,CBK290225,PD 198306,Cc1cc(I)ccc1Nc1c(C(=O)NOCC2CC2)cc(F)c(F)c1F,UHAXDAKQGVISBZ-UHFFFAOYSA-N,A03_s2_x1_y0_Fluorescence_488_nm_Ex.tiff,A03_s2_x1_y0_Fluorescence_730_nm_Ex.tiff,A03_s2_x1_y0_Fluorescence_405_nm_Ex.tiff,A03_s2_x1_y0_Fluorescence_638_nm_Ex.tiff,A03_s2_x1_y0_Fluorescence_561_nm_Ex.tiff
P102785-A03-3,P102785,A03,3,CBK290225,PD 198306,Cc1cc(I)ccc1Nc1c(C(=O)NOCC2CC2)cc(F)c(F)c1F,UHAXDAKQGVISBZ-UHFFFAOYSA-N,A03_s3_x2_y0_Fluorescence_488_nm_Ex.tiff,A03_s3_x2_y0_Fluorescence_730_nm_Ex.tiff,A03_s3_x2_y0_Fluorescence_405_nm_Ex.tiff,A03_s3_x2_y0_Fluorescence_638_nm_Ex.tiff,A03_s3_x2_y0_Fluorescence_561_nm_Ex.tiff
P102785-A03-4,P102785,A03,4,CBK290225,PD 198306,Cc1cc(I)ccc1Nc1c(C(=O)NOCC2CC2)cc(F)c(F)c1F,UHAXDAKQGVISBZ-UHFFFAOYSA-N,A03_s4_x0_y1_Fluorescence_488_nm_Ex.tiff,A03_s4_x0_y1_Fluorescence_730_nm_Ex.tiff,A03_s4_x0_y1_Fluorescence_405_nm_Ex.tiff,A03_s4_x0_y1_Fluorescence_638_nm_Ex.tiff,A03_s4_x0_y1_Fluorescence_561_nm_Ex.tiff
P102785-A03-5,P102785,A03,5,CBK290225,PD 198306,Cc1cc(I)ccc1Nc1c(C(=O)NOCC2CC2)cc(F)c(F)c1F,UHAXDAKQGVISBZ-UHFFFAOYSA-N,A03_s5_x1_y1_Fluorescence_488_nm_Ex.tiff,A03_s5_x1_y1_Fluorescence_730_nm_Ex.tiff,A03_s5_x1_y1_Fluorescence_405_nm_Ex.tiff,A03_s5_x1_y1_Fluorescence_638_nm_Ex.tiff,A03_s5_x1_y1_Fluorescence_561_nm_Ex.tiff
P102785-A03-6,P102785,A03,6,CBK290225,PD 198306,Cc1cc(I)ccc1Nc1c(C(=O)NOCC2CC2)cc(F)c(F)c1F,UHAXDAKQGVISBZ-UHFFFAOYSA-N,A03_s6_x2_y1_Fluorescence_488_nm_Ex.tiff,A03_s6_x2_y1_Fluorescence_730_nm_Ex.tiff,A03_s6_x2_y1_Fluorescence_405_nm_Ex.tiff,A03_s6_x2_y1_Fluorescence_638_nm_Ex.tiff,A03_s6_x2_y1_Fluorescence_561_nm_Ex.tiff
P102785-A03-7,P102785,A03,7,CBK290225,PD 198306,Cc1cc(I)ccc1Nc1c(C(=O)NOCC2CC2)cc(F)c(F)c1F,UHAXDAKQGVISBZ-UHFFFAOYSA-N,A03_s7_x0_y2_Fluorescence_488_nm_Ex.tiff,A03_s7_x0_y2_Fluorescence_730_nm_Ex.tiff,A03_s7_x0_y2_Fluorescence_405_nm_Ex.tiff,A03_s7_x0_y2_Fluorescence_638_nm_Ex.tiff,A03_s7_x0_y2_Fluorescence_561_nm_Ex.tiff
P102785-A03-8,P102785,A03,8,CBK290225,PD 198306,Cc1cc(I)ccc1Nc1c(C(=O)NOCC2CC2)cc(F)c(F)c1F,UHAXDAKQGVISBZ-UHFFFAOYSA-N,A03_s8_x1_y2_Fluorescence_488_nm_Ex.tiff,A03_s8_x1_y2_Fluorescence_730_nm_Ex.tiff,A03_s8_x1_y2_Fluorescence_405_nm_Ex.tiff,A03_s8_x1_y2_Fluorescence_638_nm_Ex.tiff,A03_s8_x1_y2_Fluorescence_561_nm_Ex.tiff
P102785-A03-9,P102785,A03,9,CBK290225,PD 198306,Cc1cc(I)ccc1Nc1c(C(=O)NOCC2CC2)cc(F)c(F)c1F,UHAXDAKQGVISBZ-UHFFFAOYSA-N,A03_s9_x2_y2_Fluorescence_488_nm_Ex.tiff,A03_s9_x2_y2_Fluorescence_730_nm_Ex.tiff,A03_s9_x2_y2_Fluorescence_405_nm_Ex.tiff,A03_s9_x2_y2_Fluorescence_638_nm_Ex.tiff,A03_s9_x2_y2_Fluorescence_561_nm_Ex.tiff
P102785-A04-1,P102785,A04,1,CBK289990,(S)-(+)-Dimethindene maleate,CC(C1=C(CCN(C)C)Cc2ccccc12)c1ccccn1,MVMQESMQSYOVGV-UHFFFAOYSA-N,A04_s1_x0_y0_Fluorescence_488_nm_Ex.tiff,A04_s1_x0_y0_Fluorescence_730_nm_Ex.tiff,A04_s1_x0_y0_Fluorescence_405_nm_Ex.tiff,A04_s1_x0_y0_Fluorescence_638_nm_Ex.tiff,A04_s1_x0_y0_Fluorescence_561_nm_Ex.tiff
P102785-A04-2,P102785,A04,2,CBK289990,(S)-(+)-Dimethindene maleate,CC(C1=C(CCN(C)C)Cc2ccccc12)c1ccccn1,MVMQESMQSYOVGV-UHFFFAOYSA-N,A04_s2_x1_y0_Fluorescence_488_nm_Ex.tiff,A04_s2_x1_y0_Fluorescence_730_nm_Ex.tiff,A04_s2_x1_y0_Fluorescence_405_nm_Ex.tiff,A04_s2_x1_y0_Fluorescence_638_nm_Ex.tiff,A04_s2_x1_y0_Fluorescence_561_nm_Ex.tiff
P102785-A04-3,P102785,A04,3,CBK289990,(S)-(+)-Dimethindene maleate,CC(C1=C(CCN(C)C)Cc2ccccc12)c1ccccn1,MVMQESMQSYOVGV-UHFFFAOYSA-N,A04_s3_x2_y0_Fluorescence_488_nm_Ex.tiff,A04_s3_x2_y0_Fluorescence_730_nm_Ex.tiff,A04_s3_x2_y0_Fluorescence_405_nm_Ex.tiff,A04_s3_x2_y0_Fluorescence_638_nm_Ex.tiff,A04_s3_x2_y0_Fluorescence_561_nm_Ex.tiff
P102785-A04-4,P102785,A04,4,CBK289990,(S)-(+)-Dimethindene maleate,CC(C1=C(CCN(C)C)Cc2ccccc12)c1ccccn1,MVMQESMQSYOVGV-UHFFFAOYSA-N,A04_s4_x0_y1_Fluorescence_488_nm_Ex.tiff,A04_s4_x0_y1_Fluorescence_730_nm_Ex.tiff,A04_s4_x0_y1_Fluorescence_405_nm_Ex.tiff,A04_s4_x0_y1_Fluorescence_638_nm_Ex.tiff,A04_s4_x0_y1_Fluorescence_561_nm_Ex.tiff
P102785-A04-5,P102785,A04,5,CBK289990,(S)-(+)-Dimethindene maleate,CC(C1=C(CCN(C)C)Cc2ccccc12)c1ccccn1,MVMQESMQSYOVGV-UHFFFAOYSA-N,A04_s5_x1_y1_Fluorescence_488_nm_Ex.tiff,A04_s5_x1_y1_Fluorescence_730_nm_Ex.tiff,A04_s5_x1_y1_Fluorescence_405_nm_Ex.tiff,A04_s5_x1_y1_Fluorescence_638_nm_Ex.tiff,A04_s5_x1_y1_Fluorescence_561_nm_Ex.tiff
P102785-A04-6,P102785,A04,6,CBK289990,(S)-(+)-Dimethindene maleate,CC(C1=C(CCN(C)C)Cc2ccccc12)c1ccccn1,MVMQESMQSYOVGV-UHFFFAOYSA-N,A04_s6_x2_y1_Fluorescence_488_nm_Ex.tiff,A04_s6_x2_y1_Fluorescence_730_nm_Ex.tiff,A04_s6_x2_y1_Fluorescence_405_nm_Ex.tiff,A04_s6_x2_y1_Fluorescence_638_nm_Ex.tiff,A04_s6_x2_y1_Fluorescence_561_nm_Ex.tiff
P102785-A04-7,P102785,A04,7,CBK289990,(S)-(+)-Dimethindene maleate,CC(C1=C(CCN(C)C)Cc2ccccc12)c1ccccn1,MVMQESMQSYOVGV-UHFFFAOYSA-N,A04_s7_x0_y2_Fluorescence_488_nm_Ex.tiff,A04_s7_x0_y2_Fluorescence_730_nm_Ex.tiff,A04_s7_x0_y2_Fluorescence_405_nm_Ex.tiff,A04_s7_x0_y2_Fluorescence_638_nm_Ex.tiff,A04_s7_x0_y2_Fluorescence_561_nm_Ex.tiff
P102785-A04-8,P102785,A04,8,CBK289990,(S)-(+)-Dimethindene maleate,CC(C1=C(CCN(C)C)Cc2ccccc12)c1ccccn1,MVMQESMQSYOVGV-UHFFFAOYSA-N,A04_s8_x1_y2_Fluorescence_488_nm_Ex.tiff,A04_s8_x1_y2_Fluorescence_730_nm_Ex.tiff,A04_s8_x1_y2_Fluorescence_405_nm_Ex.tiff,A04_s8_x1_y2_Fluorescence_638_nm_Ex.tiff,A04_s8_x1_y2_Fluorescence_561_nm_Ex.tiff
P102785-A04-9,P102785,A04,9,CBK289990,(S)-(+)-Dimethindene maleate,CC(C1=C(CCN(C)C)Cc2ccccc12)c1ccccn1,MVMQESMQSYOVGV-UHFFFAOYSA-N,A04_s9_x2_y2_Fluorescence_488_nm_Ex.tiff,A04_s9_x2_y2_Fluorescence_730_nm_Ex.tiff,A04_s9_x2_y2_Fluorescence_405_nm_Ex.tiff,A04_s9_x2_y2_Fluorescence_638_nm_Ex.tiff,A04_s9_x2_y2_Fluorescence_561_nm_Ex.tiff
P102785-A07-1,P102785,A07,1,CBK290845,NVP-AEW541,Cc1ccccc1-n1c(Cn2ncc3c(N)ncnc23)nc2cccc(C)c2c1=O,KQDBVHKNIYROHU-UHFFFAOYSA-N,A07_s1_x0_y0_Fluorescence_488_nm_Ex.tiff,A07_s1_x0_y0_Fluorescence_730_nm_Ex.tiff,A07_s1_x0_y0_Fluorescence_405_nm_Ex.tiff,A07_s1_x0_y0_Fluorescence_638_nm_Ex.tiff,A07_s1_x0_y0_Fluorescence_561_nm_Ex.tiff
P102785-A07-2,P102785,A07,2,CBK290845,NVP-AEW541,Cc1ccccc1-n1c(Cn2ncc3c(N)ncnc23)nc2cccc(C)c2c1=O,KQDBVHKNIYROHU-UHFFFAOYSA-N,A07_s2_x1_y0_Fluorescence_488_nm_Ex.tiff,A07_s2_x1_y0_Fluorescence_730_nm_Ex.tiff,A07_s2_x1_y0_Fluorescence_405_nm_Ex.tiff,A07_s2_x1_y0_Fluorescence_638_nm_Ex.tiff,A07_s2_x1_y0_Fluorescence_561_nm_Ex.tiff
P102785-A07-3,P102785,A07,3,CBK290845,NVP-AEW541,Cc1ccccc1-n1c(Cn2ncc3c(N)ncnc23)nc2cccc(C)c2c1=O,KQDBVHKNIYROHU-UHFFFAOYSA-N,A07_s3_x2_y0_Fluorescence_488_nm_Ex.tiff,A07_s3_x2_y0_Fluorescence_730_nm_Ex.tiff,A07_s3_x2_y0_Fluorescence_405_nm_Ex.tiff,A07_s3_x2_y0_Fluorescence_638_nm_Ex.tiff,A07_s3_x2_y0_Fluorescence_561_nm_Ex.tiff
P102785-A07-4,P102785,A07,4,CBK290845,NVP-AEW541,Cc1ccccc1-n1c(Cn2ncc3c(N)ncnc23)nc2cccc(C)c2c1=O,KQDBVHKNIYROHU-UHFFFAOYSA-N,A07_s4_x0_y1_Fluorescence_488_nm_Ex.tiff,A07_s4_x0_y1_Fluorescence_730_nm_Ex.tiff,A07_s4_x0_y1_Fluorescence_405_nm_Ex.tiff,A07_s4_x0_y1_Fluorescence_638_nm_Ex.tiff,A07_s4_x0_y1_Fluorescence_561_nm_Ex.tiff
P102785-A07-5,P102785,A07,5,CBK290845,NVP-AEW541,Cc1ccccc1-n1c(Cn2ncc3c(N)ncnc23)nc2cccc(C)c2c1=O,KQDBVHKNIYROHU-UHFFFAOYSA-N,A07_s5_x1_y1_Fluorescence_488_nm_Ex.tiff,A07_s5_x1_y1_Fluorescence_730_nm_Ex.tiff,A07_s5_x1_y1_Fluorescence_405_nm_Ex.tiff,A07_s5_x1_y1_Fluorescence_638_nm_Ex.tiff,A07_s5_x1_y1_Fluorescence_561_nm_Ex.tiff
P102785-A07-6,P102785,A07,6,CBK290845,NVP-AEW541,Cc1ccccc1-n1c(Cn2ncc3c(N)ncnc23)nc2cccc(C)c2c1=O,KQDBVHKNIYROHU-UHFFFAOYSA-N,A07_s6_x2_y1_Fluorescence_488_nm_Ex.tiff,A07_s6_x2_y1_Fluorescence_730_nm_Ex.tiff,A07_s6_x2_y1_Fluorescence_405_nm_Ex.tiff,A07_s6_x2_y1_Fluorescence_638_nm_Ex.tiff,A07_s6_x2_y1_Fluorescence_561_nm_Ex.tiff
P102785-A07-7,P102785,A07,7,CBK290845,NVP-AEW541,Cc1ccccc1-n1c(Cn2ncc3c(N)ncnc23)nc2cccc(C)c2c1=O,KQDBVHKNIYROHU-UHFFFAOYSA-N,A07_s7_x0_y2_Fluorescence_488_nm_Ex.tiff,A07_s7_x0_y2_Fluorescence_730_nm_Ex.tiff,A07_s7_x0_y2_Fluorescence_405_nm_Ex.tiff,A07_s7_x0_y2_Fluorescence_638_nm_Ex.tiff,A07_s7_x0_y2_Fluorescence_561_nm_Ex.tiff
P102785-A07-8,P102785,A07,8,CBK290845,NVP-AEW541,Cc1ccccc1-n1c(Cn2ncc3c(N)ncnc23)nc2cccc(C)c2c1=O,KQDBVHKNIYROHU-UHFFFAOYSA-N,A07_s8_x1_y2_Fluorescence_488_nm_Ex.tiff,A07_s8_x1_y2_Fluorescence_730_nm_Ex.tiff,A07_s8_x1_y2_Fluorescence_405_nm_Ex.tiff,A07_s8_x1_y2_Fluorescence_638_nm_Ex.tiff,A07_s8_x1_y2_Fluorescence_561_nm_Ex.tiff
P102785-A07-9,P102785,A07,9,CBK290845,NVP-AEW541,Cc1ccccc1-n1c(Cn2ncc3c(N)ncnc23)nc2cccc(C)c2c1=O,KQDBVHKNIYROHU-UHFFFAOYSA-N,A07_s9_x2_y2_Fluorescence_488_nm_Ex.tiff,A07_s9_x2_y2_Fluorescence_730_nm_Ex.tiff,A07_s9_x2_y2_Fluorescence_405_nm_Ex.tiff,A07_s9_x2_y2_Fluorescence_638_nm_Ex.tiff,A07_s9_x2_y2_Fluorescence_561_nm_Ex.tiff
P102785-A08-1,P102785,A08,1,CBK308283,ML 298 hydrochloride,O=C(NCCN2CCC(C(NCN3C4=CC(F)=CC=C4)=O)3CC2)C1=CC=C(F)C(F)=C1,XAPVAKKLQGLNOY-UHFFFAOYSA-N,A08_s1_x0_y0_Fluorescence_488_nm_Ex.tiff,A08_s1_x0_y0_Fluorescence_730_nm_Ex.tiff,A08_s1_x0_y0_Fluorescence_405_nm_Ex.tiff,A08_s1_x0_y0_Fluorescence_638_nm_Ex.tiff,A08_s1_x0_y0_Fluorescence_561_nm_Ex.tiff
P102785-A08-2,P102785,A08,2,CBK308283,ML 298 hydrochloride,O=C(NCCN2CCC(C(NCN3C4=CC(F)=CC=C4)=O)3CC2)C1=CC=C(F)C(F)=C1,XAPVAKKLQGLNOY-UHFFFAOYSA-N,A08_s2_x1_y0_Fluorescence_488_nm_Ex.tiff,A08_s2_x1_y0_Fluorescence_730_nm_Ex.tiff,A08_s2_x1_y0_Fluorescence_405_nm_Ex.tiff,A08_s2_x1_y0_Fluorescence_638_nm_Ex.tiff,A08_s2_x1_y0_Fluorescence_561_nm_Ex.tiff
P102785-A08-3,P102785,A08,3,CBK308283,ML 298 hydrochloride,O=C(NCCN2CCC(C(NCN3C4=CC(F)=CC=C4)=O)3CC2)C1=CC=C(F)C(F)=C1,XAPVAKKLQGLNOY-UHFFFAOYSA-N,A08_s3_x2_y0_Fluorescence_488_nm_Ex.tiff,A08_s3_x2_y0_Fluorescence_730_nm_Ex.tiff,A08_s3_x2_y0_Fluorescence_405_nm_Ex.tiff,A08_s3_x2_y0_Fluorescence_638_nm_Ex.tiff,A08_s3_x2_y0_Fluorescence_561_nm_Ex.tiff
P102785-A08-4,P102785,A08,4,CBK308283,ML 298 hydrochloride,O=C(NCCN2CCC(C(NCN3C4=CC(F)=CC=C4)=O)3CC2)C1=CC=C(F)C(F)=C1,XAPVAKKLQGLNOY-UHFFFAOYSA-N,A08_s4_x0_y1_Fluorescence_488_nm_Ex.tiff,A08_s4_x0_y1_Fluorescence_730_nm_Ex.tiff,A08_s4_x0_y1_Fluorescence_405_nm_Ex.tiff,A08_s4_x0_y1_Fluorescence_638_nm_Ex.tiff,A08_s4_x0_y1_Fluorescence_561_nm_Ex.tiff
P102785-A08-5,P102785,A08,5,CBK308283,ML 298 hydrochloride,O=C(NCCN2CCC(C(NCN3C4=CC(F)=CC=C4)=O)3CC2)C1=CC=C(F)C(F)=C1,XAPVAKKLQGLNOY-UHFFFAOYSA-N,A08_s5_x1_y1_Fluorescence_488_nm_Ex.tiff,A08_s5_x1_y1_Fluorescence_730_nm_Ex.tiff,A08_s5_x1_y1_Fluorescence_405_nm_Ex.tiff,A08_s5_x1_y1_Fluorescence_638_nm_Ex.tiff,A08_s5_x1_y1_Fluorescence_561_nm_Ex.tiff
P102785-A08-6,P102785,A08,6,CBK308283,ML 298 hydrochloride,O=C(NCCN2CCC(C(NCN3C4=CC(F)=CC=C4)=O)3CC2)C1=CC=C(F)C(F)=C1,XAPVAKKLQGLNOY-UHFFFAOYSA-N,A08_s6_x2_y1_Fluorescence_488_nm_Ex.tiff,A08_s6_x2_y1_Fluorescence_730_nm_Ex.tiff,A08_s6_x2_y1_Fluorescence_405_nm_Ex.tiff,A08_s6_x2_y1_Fluorescence_638_nm_Ex.tiff,A08_s6_x2_y1_Fluorescence_561_nm_Ex.tiff
P102785-A08-7,P102785,A08,7,CBK308283,ML 298 hydrochloride,O=C(NCCN2CCC(C(NCN3C4=CC(F)=CC=C4)=O)3CC2)C1=CC=C(F)C(F)=C1,XAPVAKKLQGLNOY-UHFFFAOYSA-N,A08_s7_x0_y2_Fluorescence_488_nm_Ex.tiff,A08_s7_x0_y2_Fluorescence_730_nm_Ex.tiff,A08_s7_x0_y2_Fluorescence_405_nm_Ex.tiff,A08_s7_x0_y2_Fluorescence_638_nm_Ex.tiff,A08_s7_x0_y2_Fluorescence_561_nm_Ex.tiff
P102785-A08-8,P102785,A08,8,CBK308283,ML 298 hydrochloride,O=C(NCCN2CCC(C(NCN3C4=CC(F)=CC=C4)=O)3CC2)C1=CC=C(F)C(F)=C1,XAPVAKKLQGLNOY-UHFFFAOYSA-N,A08_s8_x1_y2_Fluorescence_488_nm_Ex.tiff,A08_s8_x1_y2_Fluorescence_730_nm_Ex.tiff,A08_s8_x1_y2_Fluorescence_405_nm_Ex.tiff,A08_s8_x1_y2_Fluorescence_638_nm_Ex.tiff,A08_s8_x1_y2_Fluorescence_561_nm_Ex.tiff
P102785-A08-9,P102785,A08,9,CBK308283,ML 298 hydrochloride,O=C(NCCN2CCC(C(NCN3C4=CC(F)=CC=C4)=O)3CC2)C1=CC=C(F)C(F)=C1,XAPVAKKLQGLNOY-UHFFFAOYSA-N,A08_s9_x2_y2_Fluorescence_488_nm_Ex.tiff,A08_s9_x2_y2_Fluorescence_730_nm_Ex.tiff,A08_s9_x2_y2_Fluorescence_405_nm_Ex.tiff,A08_s9_x2_y2_Fluorescence_638_nm_Ex.tiff,A08_s9_x2_y2_Fluorescence_561_nm_Ex.tiff
P102785-A09-1,P102785,A09,1,CBK293873,Skepinone-L,C1CN(CCN1)c1ccc(cc1)-c1cnc2c(cnn2c1)-c1cccc2ncccc12,BBDGBGOVJPEFBT-UHFFFAOYSA-N,A09_s1_x0_y0_Fluorescence_488_nm_Ex.tiff,A09_s1_x0_y0_Fluorescence_730_nm_Ex.tiff,A09_s1_x0_y0_Fluorescence_405_nm_Ex.tiff,A09_s1_x0_y0_Fluorescence_638_nm_Ex.tiff,A09_s1_x0_y0_Fluorescence_561_nm_Ex.tiff
P102785-A09-2,P102785,A09,2,CBK293873,Skepinone-L,C1CN(CCN1)c1ccc(cc1)-c1cnc2c(cnn2c1)-c1cccc2ncccc12,BBDGBGOVJPEFBT-UHFFFAOYSA-N,A09_s2_x1_y0_Fluorescence_488_nm_Ex.tiff,A09_s2_x1_y0_Fluorescence_730_nm_Ex.tiff,A09_s2_x1_y0_Fluorescence_405_nm_Ex.tiff,A09_s2_x1_y0_Fluorescence_638_nm_Ex.tiff,A09_s2_x1_y0_Fluorescence_561_nm_Ex.tiff
P102785-A09-3,P102785,A09,3,CBK293873,Skepinone-L,C1CN(CCN1)c1ccc(cc1)-c1cnc2c(cnn2c1)-c1cccc2ncccc12,BBDGBGOVJPEFBT-UHFFFAOYSA-N,A09_s3_x2_y0_Fluorescence_488_nm_Ex.tiff,A09_s3_x2_y0_Fluorescence_730_nm_Ex.tiff,A09_s3_x2_y0_Fluorescence_405_nm_Ex.tiff,A09_s3_x2_y0_Fluorescence_638_nm_Ex.tiff,A09_s3_x2_y0_Fluorescence_561_nm_Ex.tiff
P102785-A09-4,P102785,A09,4,CBK293873,Skepinone-L,C1CN(CCN1)c1ccc(cc1)-c1cnc2c(cnn2c1)-c1cccc2ncccc12,BBDGBGOVJPEFBT-UHFFFAOYSA-N,A09_s4_x0_y1_Fluorescence_488_nm_Ex.tiff,A09_s4_x0_y1_Fluorescence_730_nm_Ex.tiff,A09_s4_x0_y1_Fluorescence_405_nm_Ex.tiff,A09_s4_x0_y1_Fluorescence_638_nm_Ex.tiff,A09_s4_x0_y1_Fluorescence_561_nm_Ex.tiff
P102785-A09-5,P102785,A09,5,CBK293873,Skepinone-L,C1CN(CCN1)c1ccc(cc1)-c1cnc2c(cnn2c1)-c1cccc2ncccc12,BBDGBGOVJPEFBT-UHFFFAOYSA-N,A09_s5_x1_y1_Fluorescence_488_nm_Ex.tiff,A09_s5_x1_y1_Fluorescence_730_nm_Ex.tiff,A09_s5_x1_y1_Fluorescence_405_nm_Ex.tiff,A09_s5_x1_y1_Fluorescence_638_nm_Ex.tiff,A09_s5_x1_y1_Fluorescence_561_nm_Ex.tiff
P102785-A09-6,P102785,A09,6,CBK293873,Skepinone-L,C1CN(CCN1)c1ccc(cc1)-c1cnc2c(cnn2c1)-c1cccc2ncccc12,BBDGBGOVJPEFBT-UHFFFAOYSA-N,A09_s6_x2_y1_Fluorescence_488_nm_Ex.tiff,A09_s6_x2_y1_Fluorescence_730_nm_Ex.tiff,A09_s6_x2_y1_Fluorescence_405_nm_Ex.tiff,A09_s6_x2_y1_Fluorescence_638_nm_Ex.tiff,A09_s6_x2_y1_Fluorescence_561_nm_Ex.tiff
